example_id                                                      | status  | run_time        |
./spec/models/video_spec.rb[1:4:2:1:2]                          | passed  | 0.08775 seconds |
./spec/models/video_spec.rb[1:4:2:2:1]                          | passed  | 0.08939 seconds |
./spec/models/video_spec.rb[1:4:2:2:2]                          | passed  | 0.08847 seconds |
./spec/models/video_spec.rb[1:4:3:1:1]                          | passed  | 0.09112 seconds |
./spec/models/video_spec.rb[1:4:3:1:2]                          | passed  | 0.08999 seconds |
./spec/models/video_spec.rb[1:4:3:1:3]                          | passed  | 0.0928 seconds  |
./spec/models/video_spec.rb[1:4:3:2:1]                          | passed  | 0.09184 seconds |
./spec/models/video_spec.rb[1:4:3:2:2]                          | passed  | 0.11146 seconds |
./spec/models/video_spec.rb[1:4:4:1]                            | passed  | 0.06156 seconds |
./spec/requests/playlists_spec.rb[1:1:1]                        | pending | 0.00049 seconds |
./spec/requests/playlists_spec.rb[1:2:1]                        | pending | 0.00066 seconds |
./spec/requests/playlists_spec.rb[1:3:1:1]                      | pending | 0.00207 seconds |
./spec/requests/playlists_spec.rb[1:3:1:2]                      | pending | 0.0006 seconds  |
./spec/requests/playlists_spec.rb[1:3:2:1]                      | pending | 0.01007 seconds |
./spec/requests/playlists_spec.rb[1:3:2:2]                      | pending | 0.00082 seconds |
./spec/requests/playlists_spec.rb[1:4:1:1]                      | pending | 0.00062 seconds |
./spec/requests/playlists_spec.rb[1:4:1:2]                      | pending | 0.02144 seconds |
./spec/requests/playlists_spec.rb[1:4:2:1]                      | pending | 0.00046 seconds |
./spec/requests/playlists_spec.rb[1:5:1]                        | pending | 0.00044 seconds |
./spec/requests/videos_spec.rb[1:1:1]                           | pending | 0.0005 seconds  |
./spec/requests/videos_spec.rb[1:2:1]                           | pending | 0.00061 seconds |
./spec/requests/videos_spec.rb[1:3:1:1]                         | pending | 0.0016 seconds  |
./spec/requests/videos_spec.rb[1:3:1:2]                         | pending | 0.00067 seconds |
./spec/requests/videos_spec.rb[1:3:2:1]                         | pending | 0.00174 seconds |
./spec/requests/videos_spec.rb[1:3:2:2]                         | pending | 0.0007 seconds  |
./spec/requests/videos_spec.rb[1:4:1:1]                         | pending | 0.00052 seconds |
./spec/requests/videos_spec.rb[1:4:1:2]                         | pending | 0.00056 seconds |
./spec/requests/videos_spec.rb[1:4:2:1]                         | pending | 0.00054 seconds |
./spec/requests/videos_spec.rb[1:5:1]                           | pending | 0.00061 seconds |
./spec/routing/playlists_routing_spec.rb[1:1:1]                 | passed  | 0.00075 seconds |
./spec/routing/playlists_routing_spec.rb[1:1:2]                 | passed  | 0.00074 seconds |
./spec/routing/playlists_routing_spec.rb[1:1:3]                 | passed  | 0.00418 seconds |
./spec/routing/playlists_routing_spec.rb[1:1:4]                 | passed  | 0.00071 seconds |
./spec/routing/playlists_routing_spec.rb[1:1:5]                 | passed  | 0.00072 seconds |
./spec/routing/playlists_routing_spec.rb[1:1:6]                 | passed  | 0.00085 seconds |
./spec/routing/videos_routing_spec.rb[1:1:1]                    | passed  | 0.00056 seconds |
./spec/routing/videos_routing_spec.rb[1:1:2]                    | passed  | 0.00061 seconds |
./spec/routing/videos_routing_spec.rb[1:1:3]                    | passed  | 0.00061 seconds |
./spec/routing/videos_routing_spec.rb[1:1:4]                    | passed  | 0.00059 seconds |
./spec/routing/videos_routing_spec.rb[1:1:5]                    | passed  | 0.00109 seconds |
./spec/routing/videos_routing_spec.rb[1:1:6]                    | passed  | 0.00071 seconds |
